Protein Accession	Assembly	Species	Lineage	Assembly BioProject Lineage Title	Assembly BioSample Attribute Name	Assembly BioSample Attribute Value	Assembly BioSample Description Title	Assembly BioSample Sample Identifiers Database	Assembly BioSample Models	Assembly BioSample Owner Name	Assembly BioSample Package	Assembly BioSample Publication date	Assembly Level	Assembly Notes	Assembly Sequencing Tech	Assembly Stats GC Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Total Sequence Length	Current Accession	Organism Name	Organism Taxonomic ID	Assembly Stats Total Sequence Length MB	Signature.accession	Combined Signature description	Total Signature Description	color three
MBK7826995.1	GCF_016714285.1	Nannocystis sp.	Bacteria; Myxococcota; Polyangia; Nannocystales; Nannocystaceae; Nannocystis	Activated sludge metagenome Genome sequencing and assembly	collection_date	9/7/2018	MIMAG Metagenome-assembled Genome sample from Nannocystis sp.	Not Available	MIMAG.wastewater	Aalborg University	MIMAG.wastewater.6.0	2021-01-20 0:00:00	Contig	derived from metagenome	Oxford Nanopore PromethION	6461587	71	15.5x	9083132	GCF_016714285.1	Nannocystis sp.	1962667	9.083132	cd00833-cd05195-cd05931	FAAL-PKS-enoyl_red	3	#000000
EDZ37931.1	No Genome	Leptospirillum sp. Group II '5-way CG'	Bacteria; Nitrospirota; Nitrospiria; Nitrospirales; Nitrospiraceae; Leptospirillum	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	-1	-1	Not Available	-1	Not Available	Not Available	-1	Not Available	cd05931	FAAL	1	#FFFFFF
GGK63258.1	GCA_014646135.1	Nocardia camponoti	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Nocardiaceae; Nocardia	De novo sequencing and analysis for CGMCC strains in GCM 10K project	sample_name	CGMCC 4.7278	Strain CGMCC 4.7278 of Nocardia camponoti	Not Available	MIGS.ba	WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	MIGS.ba.6.0	2020-09-04 0:00:00	Scaffold	Not Available	Illumina HiSeq X Ten	3382549	65	148.0x	5214713	GCA_014646135.1	Nocardia camponoti	1616106	5.214713	cd05931	FAAL	1	#FFFFFF
MBV9022754.1	GCA_019243445.1	Streptomycetaceae bacterium	Bacteria; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae	Metagenome-assembled genomes from V. epidendroides and B. macrantha-associated communities	isolate	CP_BM_RX_5	MIMAG Metagenome-assembled Genome sample from Streptomycetaceae bacterium	Not Available	MIMAG.plant-associated	The Genomics for Climate Change Research Center	MIMAG.plant-associated.6.0	2021-07-04 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq	3606627	67.5	11.6x	5355486	GCA_019243445.1	Streptomycetaceae bacterium	2021369	5.355486	cd05931	FAAL	1	#FFFFFF
WP_040751834.1	GCF_014203315.1	Nocardia transvalensis	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Nocardiaceae; Nocardia	Nocardia transvalensis DSM 43582 genome sequencing	strain	DSM 43582	Nocardia transvalensis DSM 43582	SRA	MIGS.ba	DOE Joint Genome Institute	MIGS.ba.6.0	2016-10-07 0:00:00	Contig	Not Available	PacBio	5812456	69	473.0x	8398323	GCF_014203315.1	Nocardia transvalensis	37333	8.398323	cd05931	FAAL	1	#FFFFFF
WP_116214793.1	GCF_003391135.1	Streptomyces olivoreticuli	Bacteria; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces	Complete genome sequence of Streptomyces olivoreticuli ATCC 31159	isolation_source	soil	Microbe sample from Streptomyces olivoreticuli subsp. olivoreticuli	Not Available	Microbe, viral or environmental	Tianjin University of Commerce	Microbe.1.0	2018-08-06 0:00:00	Complete Genome	Not Available	Illumina HiSeq; PacBio	6264543	71	145.0x	8809793	GCF_003391135.1	Streptomyces olivoreticuli subsp. olivoreticuli	284034	8.809793	cd05931	FAAL	1	#FFFFFF
RLU87511.1	GCA_003674045.1	Streptomyces griseocarneus	Bacteria; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces	Streptomyces griseocarneus strain:132 Genome sequencing and assembly	strain	132	Draft genome of Streptomyces griseocarneus	Not Available	Microbe, viral or environmental	UFMT	Microbe.1.0	2018-10-25 0:37:55	Contig	genome length too large	Illumina HiSeq	6313389	71.5	8.0x	8853664	GCA_003674045.1	Streptomyces griseocarneus	51201	8.853664	cd05931	FAAL	1	#FFFFFF
WP_250279507.1	GCF_920656135.1	Frankia sp. Cppng1_Ct_nod	Bacteria; Actinomycetota; Actinomycetes; Frankiales; Frankiaceae; Frankia	Draft genome sequence of Frankia sp. Cppng1_Ct_nod	ENA first public	4/30/2022	Draft genome sequence of Frankia sp. Cppng1_Ct_nod	SRA	Generic	EBI	Generic.1.0	2022-04-30 0:00:00	Scaffold	Not Available	Not Available	3299942	68	40.0x	4858262	GCF_920656135.1	Frankia sp. Cppng1_Ct_nod	2897162	4.858262	cd05931	FAAL	1	#FFFFFF
WP_248818343.1	GCA_023243045.1	Frankia sp. AgB32	Bacteria; Actinomycetota; Actinomycetes; Frankiales; Frankiaceae; Frankia	Draft genomes of several Frankiae	collection_date	1986	MIGS Cultured Bacterial/Archaeal sample from Frankia sp. AgB32	Not Available	MIGS.ba,MIGS/MIMS/MIMARKS.plant-associated	Texas State University	MIGS.ba.plant-associated.6.0	2022-05-06 0:00:00	Scaffold	Not Available	Illumina NextSeq	4825881	72	20.0x	6684005	GCA_023243045.1	Frankia sp. AgB32	631119	6.684005	cd05931	FAAL	1	#FFFFFF
NJC22170.1	GCA_011927905.1	Arthrobacter pigmenti	Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Micrococcaceae; Arthrobacter	Arthrobacter pigmenti DSM 16403 genome sequencing	strain	DSM 16403	Arthrobacter pigmenti DSM 16403	SRA	MIGS.ba	DOE Joint Genome Institute	MIGS.ba.6.0	2016-10-07 0:00:00	Contig	Not Available	PacBio	2410004	63.5	889.0x	3793795	GCA_011927905.1	Arthrobacter pigmenti	271432	3.793795	cd00833-cd05931-cd08952	FAAL-KR_1_SDR_x-PKS	3	#000000
WP_245192448.1	GCF_011927905.1	Arthrobacter pigmenti	Bacteria;  Actinomycetota;  Actinomycetes;  Micrococcales;  Micrococcaceae;  Arthrobacter																					cd00833-cd05931-cd08952	FAAL-KR_1_SDR_x-PKS	3	#000000
WP_164545166.1	GCF_003946865.1	Antribacter gilvus	Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Promicromonosporaceae; Antribacter	Antribacter gilvus strain:CFH 30434 Genome sequencing and assembly	strain	CFH 30434	Microbe sample from Promicromonosporaceae sp.	Not Available	Microbe, viral or environmental	Sun Yat-sen University	Microbe.1.0	2018-08-27 0:00:00	Contig	Not Available	Illumina	3738807	72.5	100.0x	5168154	GCF_003946865.1	Antribacter gilvus	2304675	5.168154	cd00833-cd05931-cd08952	FAAL-KR_1_SDR_x-PKS	3	#000000
TGJ97242.1	GCF_004121275.1	Actinotalea fermentans ATCC 43279 = JCM 9966 = DSM 3133	Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Cellulomonadaceae; Actinotalea	Oerskovia turbata strain:JCM12123 Genome sequencing and assembly	strain	JCM12123	Microbe sample from Demequina aestuarii	Not Available	Microbe, viral or environmental	Dalian University of Technology	Microbe.1.0	2019-01-15 0:00:00	Contig	Not Available	Illumina HiSeq	2905000	72	96.0x	4022330	GCF_004121275.1	Oerskovia turbata	1713	4.02233	cd00833-cd05931-cd08952	FAAL-KR_1_SDR_x-PKS	3	#000000
WP_015620948.1	GCF_000389965.1	Actinoplanes sp. N902-109	Bacteria; Actinomycetota; Actinomycetes; Micromonosporales; Micromonosporaceae; Actinoplanes	Actinoplanes sp. N902-109 Genome sequencing	strain	N902-109	Sample from Actinoplanes sp. N902-109	Not Available	Generic	NCBI	Generic.1.0	2014-01-30 14:54:03	Complete Genome	Not Available	454	6580625	71.5	25.0x	9228054	GCF_000389965.1	Actinoplanes sp. N902-109	649831	9.228054	cd00833-cd05931-cd08952	FAAL-KR_1_SDR_x-PKS	3	#000000
RMI33405.1	GCF_003696265.1	Nocardia stercoris	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Nocardiaceae; Nocardia	Nocardia stercoris strain:NEAU-LL90 Genome sequencing and assembly	strain	NEAU-LL90	Microbe sample from Nocardia stercoris	Not Available	Microbe, viral or environmental	School of life  science	Microbe.1.0	2018-10-24 0:00:00	Scaffold	Not Available	Illumina HiSeq	5214673	69	232.0x	7545798	GCF_003696265.1	Nocardia stercoris	2483361	7.545798	cd00833-cd05931-cd08955	FAAL-KR_2_FAS_SDR_x-PKS	3	#000000
WP_195095359.1	GCF_015477355.1	Nocardia blacklockiae	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Nocardiaceae; Nocardia	Nocardia Genome sequencing and assembly	strain	N-17	Microbe sample from Nocardia blacklockiae	Not Available	Microbe, viral or environmental	Chinese PLA Center for Disease Control and Prevention	Microbe.1.0	2020-10-26 0:00:00	Contig	Not Available	Illumina NovaSeq	5551276	70	Not Available	7934999	GCF_015477355.1	Nocardia blacklockiae	480036	7.934999	cd00833-cd05931-cd08955	FAAL-KR_2_FAS_SDR_x-PKS	3	#000000
WP_179812980.1	GCF_013407765.1	Allostreptomyces psammosilenae	Bacteria; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Allostreptomyces	Allostreptomyces psammosilenae DSM 42178 genome sequencing	strain	DSM 42178	Allostreptomyces psammosilenae DSM 42178	DOE Joint Genome Institute	MIGS.ba	DOE Joint Genome Institute	MIGS.ba.6.0	2019-06-11 0:00:00	Contig	Not Available	PacBio	4937276	74.5	118.0x	6645128	GCF_013407765.1	Allostreptomyces psammosilenae	1892865	6.645128	cd00833-cd05931	FAAL-PKS	2	#000000
MBE8524599.1	GCA_015163035.1	Amycolatopsis sp. H6(2020)	Bacteria; Actinomycetota; Actinomycetes; Pseudonocardiales; Pseudonocardiaceae; Amycolatopsis	Amycolatopsis sp. H6(2020) Genome sequencing and assembly	strain	H6(2020)	Microbe sample from Amycolatopsis sp. H6(2020)	Not Available	Microbe, viral or environmental	Chiang Mai University	Microbe.1.0	2020-10-06 0:00:00	Contig	contaminated	Illumina MiSeq	9756036	71	51.1x	13718902	GCA_015163035.1	Amycolatopsis sp. H6(2020)	2778432	13.718902	cd00833-cd05931	FAAL-PKS	2	#000000
WP_230615483.1	GCF_020991275.1	Actinocorallia sp. API 0066	Bacteria; Actinomycetota; Actinomycetes; Streptosporangiales; Thermomonosporaceae; Actinocorallia	Actinocorallia sp. API 0066 Genome sequencing and assembly	strain	API 0066	Microbe sample from Actinocorallia sp. API 0066	Not Available	Microbe, viral or environmental	National Center for Genetic Engineering and Biotechnology (BIOTEC)	Microbe.1.0	2021-11-22 12:50:08	Contig	Not Available	Illumina NovaSeq	5014282	71.5	285.7x	7016135	GCF_020991275.1	Actinocorallia sp. API 0066	2896846	7.016135	cd00833-cd05931-cd08955	FAAL-KR_2_FAS_SDR_x-PKS	3	#000000
WP_084472316.1	GCF_004339125.1	Nocardia alba	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Nocardiaceae; Nocardia	Nocardia alba DSM 44684 genome sequencing	strain	DSM 44684	Nocardia alba DSM 44684	SRA	MIGS.ba	DOE Joint Genome Institute	MIGS.ba.6.0	2018-05-04 0:00:00	Scaffold	Not Available	Illumina HiSeq	4931845	67.5	154.0x	7289173	GCF_004339125.1	Nocardia alba	225051	7.289173	cd00833-cd05931-cd08955	FAAL-KR_2_FAS_SDR_x-PKS	3	#000000
TCJ96933.1	GCA_004339125.1	Nocardia alba	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Nocardiaceae; Nocardia	Nocardia alba DSM 44684 genome sequencing	strain	DSM 44684	Nocardia alba DSM 44684	SRA	MIGS.ba	DOE Joint Genome Institute	MIGS.ba.6.0	2018-05-04 0:00:00	Scaffold	Not Available	Illumina HiSeq	4931845	67.5	154.0x	7289173	GCA_004339125.1	Nocardia alba	225051	7.289173	cd00833-cd05931-cd08955	FAAL-KR_2_FAS_SDR_x-PKS	3	#000000
WP_175958492.1	GCF_902833075.1	Burkholderia sp. BCC0405	Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia	Burkholderiaceae genomes sequenced for genome mining	ENA-CHECKLIST	ERC000011	Genome sequence of Burkholderia strain	SRA	Generic	EBI	Generic.1.0	2020-04-23 0:00:00	Scaffold	Not Available	Not Available	5273085	66	71.0x	7980251	GCF_902833075.1	Burkholderia sp. BCC0405	2676298	7.980251	cd05931	FAAL	1	#FFFFFF
WP_086001112.1	GCF_000170895.1	Plesiocystis pacifica	Bacteria; Myxococcota; Polyangia; Nannocystales; Nannocystaceae; Plesiocystis	Marine myxobacterium	strain	SIR-1	Generic sample from Plesiocystis pacifica SIR-1	Not Available	Generic	NCBI	Generic.1.0	2013-12-04 0:00:00	Contig	Not Available	Not Available	7480938	70.5	Not Available	10587646	GCF_000170895.1	Plesiocystis pacifica SIR-1	391625	10.587646	cd05931	FAAL	1	#FFFFFF
WP_172305817.1	GCF_011083025.2	Pseudenhygromyxa sp. WMMC2535	Bacteria; Myxococcota; Polyangia; Nannocystales; Nannocystaceae; Pseudenhygromyxa	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	-1	-1	Not Available	-1	Not Available	Not Available	-1	Not Available	cd05931	FAAL	1	#FFFFFF
WP_106389506.1	GCF_002994615.1	Enhygromyxa salina	Bacteria; Myxococcota; Myxococcia; Myxococcales; Enhygromyxa	Enhygromyxa salina strain:SWB005 Genome sequencing and assembly	strain	SWB005	Microbe sample from Enhygromyxa salina	Not Available	Microbe, viral or environmental	Georg-August-University Goettingen	Microbe.1.0	2018-02-22 0:00:00	Contig	Not Available	Illumina	6267017	69.5	75.0x	9010436	GCF_002994615.1	Enhygromyxa salina	215803	9.010436	cd05931	FAAL	1	#FFFFFF
WP_052552950.1	GCF_000737335.2	Enhygromyxa salina	Bacteria; Myxococcota; Myxococcia; Myxococcales; Enhygromyxa	Enhygromyxa salina strain:DSM 15201 Genome sequencing and assembly	strain	DSM 15201	Microbe sample from Enhygromyxa salina	Not Available	Microbe, viral or environmental	IMTECH-CSIR	Microbe.1.0	2014-04-04 0:00:00	Contig	Not Available	Illumina HiSeq	7033902	67.5	125.0x	10435313	GCF_000737335.2	Enhygromyxa salina	215803	10.435313	cd05931	FAAL	1	#FFFFFF
OYV75308.1	GCA_035427445.1	Deltaproteobacteria bacterium 21-66-5	Bacteria; Deltaproteobacteria	Genome-Centric analyses of 165 metagenomes show the prevalence of antimicrobial resistance in activated sludge and wastewater treatments plants	isolate	AMR_MDS_5102	Not Available	Not Available	MIMAG.wastewater	Helmholtz Center for Environmental Research -UFZ	MIMAG.wastewater.6.0	2023-06-13 0:51:04	Scaffold	derived from metagenome,fragmented assembly,genus undefined	Illumina MiSeq	4215388	63.5	Not Available	6637867	GCA_035427445.1	Pirellulales bacterium	2715253	6.637867	cd05931	FAAL	1	#FFFFFF
MCL6505165.1	GCA_023511675.1	Pirellulales bacterium	Bacteria; Planctomycetota; Planctomycetia; Pirellulales	Lakelse Hot Spring Genomes	isolate	HOT.MB2.34	MIMAG Metagenome-assembled Genome sample from Pirellulales bacterium	Not Available	MIMAG	University of British Columbia	MIMAG.6.0	2022-05-21 0:45:06	Contig	derived from metagenome,genus undefined	Illumina NextSeq	3870174	66	41.3x	5878556	GCA_023511675.1	Pirellulales bacterium	2715253	5.878556	cd05931	FAAL	1	#FFFFFF
MBX9790192.1	GCA_019745975.1	Pirellulales bacterium	Bacteria; Planctomycetota; Planctomycetia; Pirellulales	Dereplicated MAGs: Evaluating de novo assembly and binning strategies for time-series drinking water metagenomes	isolation_source	Commercial building tap, chloraminated drinking water	dRep.mag.070, co.spades.METABAT.2.5kb_062	Not Available	MIMAG.water	Northeastern University	MIMAG.water.6.0	2021-07-11 0:00:00	Contig	derived from metagenome,genus undefined	Illumina	4417559	63.5	3.0x	6976653	GCA_019745975.1	Pirellulales bacterium	2715253	6.976653	cd02440-cd05931-cd12116-cd19531	A_NRPS_Ta1_like-AdoMet_MTases-FAAL-LCL_NRPS-like	5	#000000
WP_146587136.1	GCF_007859935.1	Posidoniimonas polymericola	Bacteria; Planctomycetota; Planctomycetia; Pirellulales; Lacipirellulaceae; Posidoniimonas	Planctomycetes strains from diverse aquatic habitats - Genome sequencing and assembly	collection_date	9/4/2014	MIGS Cultured Bacterial/Archaeal sample from Posidoniimonas polymericola	Not Available	MIGS.ba,MIGS/MIMS/MIMARKS.microbial	Radboud Universiteit Nijmegen	MIGS.ba.microbial.6.0	2019-08-09 0:00:00	Contig	Not Available	Illumina MiSeq	4164851	66.5	203.0x	6262701	GCF_007859935.1	Posidoniimonas polymericola	2528002	6.262701	cd05931	FAAL	1	#FFFFFF
WP_197531351.1	GCF_007859765.1	Posidoniimonas corsicana	Bacteria; Planctomycetota; Planctomycetia; Pirellulales; Lacipirellulaceae; Posidoniimonas	Insights into the bacterial biofilm community of the Mediterranean seagrass Posidonia oceanica and description of novel Planctomycetes - Genome sequencing and assembly	strain	KOR34	Microbe sample from Posidoniimonas corsicana	Not Available	Microbe, viral or environmental	Leibniz-Institute DSMZ German Collection of Microorganisms and Cell Cultures	Microbe.1.0	2018-12-17 0:00:00	Scaffold	Not Available	Illumina MiSeq	4510046	66.5	145.0x	6765537	GCF_007859765.1	Posidoniimonas corsicana	1938618	6.765537	cd05931	FAAL	1	#FFFFFF
MBX7168198.1	GCA_019694435.1	Pirellulales bacterium	Bacteria; Planctomycetota; Planctomycetia; Pirellulales	Time-series metagenome survey of activated sludge in a full-scale wastewater treatment plant	isolation_source	waste water treatment plant	MIMAG Metagenome-assembled Genome sample from Pirellulales bacterium	Not Available	MIMAG.wastewater	SCELSE	MIMAG.wastewater.6.0	2021-08-20 18:39:08	Contig	derived from metagenome,genus undefined	Illumina HiSeq	3999961	65	17.1x	6131874	GCA_019694435.1	Pirellulales bacterium	2715253	6.131874	cd05931-cd12116-cd19531	A_NRPS_Ta1_like-FAAL-LCL_NRPS-like	4	#000000
CAI3971909.1	GCA_947184155.1	Cladocopium goreaui	Eukaryota; Sar; Alveolata; Dinophyceae; Suessiales; Symbiodiniaceae; Cladocopium	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	-1	-1	Not Available	-1	Not Available	Not Available	-1	Not Available	cd05931	FAAL	1	#FFFFFF
MBX7072951.1	GCA_019694455.1	Pirellulales bacterium	Bacteria; Planctomycetota; Planctomycetia; Pirellulales	Time-series metagenome survey of activated sludge in a full-scale wastewater treatment plant	isolation_source	waste water treatment plant	MIMAG Metagenome-assembled Genome sample from Pirellulales bacterium	Not Available	MIMAG.wastewater	SCELSE	MIMAG.wastewater.6.0	2021-08-20 18:39:08	Contig	derived from metagenome,genus undefined	Illumina HiSeq	3282633	62.5	14.3x	5245101	GCA_019694455.1	Pirellulales bacterium	2715253	5.245101	cd05931	FAAL	1	#FFFFFF
MBL9123474.1	GCA_016793185.1	Planctomycetaceae bacterium	Bacteria; Planctomycetota; Planctomycetia; Planctomycetales; Planctomycetaceae	Raw reads and metagenome-assembled genomes (MAGs) from denitrifying phosphorus removal sludge under heavy metals pressure	isolate	new MAG-41	new MAG-41	Not Available	MIMAG.wastewater	Nanjing University	MIMAG.wastewater.6.0	2021-01-04 0:00:00	Contig	derived from metagenome,genus undefined	Illumina NovaSeq	3038165	66	5.0x	4615325	GCA_016793185.1	Planctomycetaceae bacterium	2026779	4.615325	cd05931	FAAL	1	#FFFFFF
MBI2824765.1	GCA_016191115.1	Planctomycetia bacterium	Bacteria; Planctomycetota; Planctomycetia	Metagenomes from Northern California groundwater	collection_date	5/3/2019	alan_book_18_Planctomycetes_65_48	Not Available	MIMAG.water	Jill Banfield's Lab at Berkeley	MIMAG.water.6.0	2020-12-22 18:39:19	Scaffold	derived from metagenome,genus undefined	Illumina NovaSeq	3927187	65	65.2x	6026176	GCA_016191115.1	Planctomycetia bacterium	2052181	6.026176	cd05931	FAAL	1	#FFFFFF
MBX3413397.1	GCA_019636335.1	Pirellulales bacterium	Bacteria; Planctomycetota; Planctomycetia; Pirellulales	Acesulfame aerobic biodegradation by enriched consortia and Chelatococcus spp.: kinetics, transformation products and genomic characterization	isolation_source	ACE-degrading consortia seeded with activated sludge sampled from 6 local waste water treatment plants (WWTPs)	MIMAG Metagenome-assembled Genome sample from Pirellulales bacterium	Not Available	MIMAG	The University of Hong Kong	MIMAG.6.0	2021-05-11 0:50:13	Contig	derived from metagenome,genus undefined	Illumina HiSeq	4047373	63.5	26.0x	6376278	GCA_019636335.1	Pirellulales bacterium	2715253	6.376278	cd05931	FAAL	1	#FFFFFF
NQU20811.1	GCA_013202865.1	Candidatus Nealsonbacteria bacterium	Bacteria; Candidatus Nealsonbacteria	High-Arctic meromictic Lake A Metagenome	isolation_source	High-Arctic meromictic Lake A	bin.20_Unclassified_Cand. Nealsonbacteria_LakeA	Not Available	MIMAG.water	Universite Laval	MIMAG.water.6.0	2020-05-19 0:00:00	Contig	derived from metagenome,genus undefined	Illumina NextSeq	5634159	62	11.9x	9115461	GCA_013202865.1	Candidatus Nealsonbacteria bacterium	2093793	9.115461	cd05931	FAAL	1	#FFFFFF
HIQ21835.1	GCA_015661985.1	Planctomycetota bacterium	Bacteria; Planctomycetota	hydrothermal vent metagenome Genome sequencing and assembly	isolate	SZUA-1497	Microbe sample from Planctomycetota bacterium	Not Available	Microbe, viral or environmental	The University of Hong Kong	Microbe.1.0	2019-09-30 0:00:00	Contig	derived from metagenome,genus undefined	Illumina HiSeq 2000	3470874	64.5	27.2x	5371904	GCA_015661985.1	Planctomycetota bacterium	2026780	5.371904	cd05931	FAAL	1	#FFFFFF
